,carat,cut,color,clarity,depth,table,price,x,y,z,class
56,0.33,Premium,G,VS1,61.3,58.0,854,4.46,4.42,2.72,reject
57,0.31,Ideal,D,VS2,59.0,57.0,942,4.48,4.44,2.63,accept
58,1.01,Very Good,E,VS2,60.4,58.0,6666,6.47,6.51,3.92,reject
59,0.36,Ideal,D,VS2,61.8,56.0,1094,4.6,4.56,2.83,accept
60,0.41,Ideal,F,VS2,62.3,57.0,863,4.75,4.78,2.97,accept
61,0.74,Ideal,H,VS1,61.0,55.0,3254,5.86,5.88,3.58,reject
62,0.32,Very Good,F,VVS2,63.0,56.0,721,4.37,4.39,2.76,accept
63,1.0,Fair,I,I1,65.4,57.0,2112,6.28,6.2,4.08,reject
64,0.31,Very Good,E,VVS2,61.5,55.0,710,4.37,4.41,2.7,accept
65,0.51,Ideal,F,VS1,61.9,56.0,1836,5.17,5.11,3.18,accept
66,0.52,Ideal,D,VS2,62.7,53.0,1919,5.17,5.14,3.23,accept
67,1.04,Ideal,F,VVS2,61.6,57.0,10804,6.47,6.51,4.0,reject
68,0.4,Ideal,H,SI1,61.7,56.0,770,4.72,4.77,2.93,reject
69,0.32,Ideal,E,VS2,62.3,57.0,900,4.42,4.41,2.75,accept
70,0.61,Ideal,D,VS2,61.0,57.0,2147,5.45,5.47,3.33,accept
71,0.37,Ideal,D,VS2,61.4,55.0,1003,4.64,4.67,2.86,accept
72,0.39,Premium,D,VVS2,61.1,60.0,1290,4.7,4.66,2.86,accept
73,0.24,Ideal,F,VVS2,61.7,59.0,526,4.01,4.03,2.48,accept
74,0.91,Ideal,G,VS1,62.3,55.0,4860,6.17,6.22,3.86,reject
75,0.3,Ideal,D,VVS2,61.7,57.0,814,4.33,4.36,2.68,accept
76,0.26,Good,E,IF,59.6,61.0,597,4.13,4.16,2.47,accept
77,0.73,Ideal,G,VS1,62.0,55.0,3342,5.74,5.79,3.58,reject
78,0.31,Ideal,E,VS2,61.9,55.0,680,4.34,4.39,2.7,accept
79,0.53,Premium,H,VS2,61.4,52.0,1412,5.29,5.26,3.24,reject
80,0.7,Very Good,J,SI1,61.1,60.0,1959,5.66,5.7,3.47,reject
81,0.75,Good,E,VS1,63.1,55.0,3231,5.8,5.83,3.67,accept
82,0.91,Ideal,I,VS2,61.6,55.0,4317,6.21,6.28,3.85,reject
83,0.71,Ideal,F,VVS1,61.4,56.0,5019,5.75,5.78,3.54,accept
84,1.69,Premium,F,VS2,59.8,60.0,14242,7.79,7.74,4.64,reject
85,0.43,Premium,G,VS2,61.2,58.0,867,4.84,4.9,2.98,reject
86,0.38,Ideal,F,VS2,62.2,54.0,870,4.64,4.66,2.89,accept
87,0.52,Premium,F,SI1,62.0,59.0,1112,5.18,5.15,3.2,reject
88,0.7,Ideal,E,VS2,61.3,57.0,3504,5.73,5.75,3.52,accept
89,0.32,Ideal,D,VS2,62.1,53.0,671,4.42,4.44,2.75,accept
90,0.3,Premium,E,VS2,62.0,60.0,658,4.23,4.26,2.63,accept
91,1.05,Good,H,VS2,63.7,58.0,5592,6.45,6.4,4.09,reject
92,0.7,Ideal,F,VS2,62.2,55.0,2676,5.66,5.72,3.54,accept
93,0.3,Ideal,D,VS2,61.3,57.0,911,4.36,4.32,2.66,accept
94,0.53,Ideal,G,VS2,62.5,55.0,1607,5.2,5.17,3.24,reject
95,0.31,Premium,D,VS2,60.7,59.0,734,4.35,4.38,2.65,accept
96,1.01,Very Good,F,VS1,59.4,58.0,6439,6.46,6.54,3.86,reject
97,0.47,Very Good,D,VS1,59.5,61.0,1422,5.06,5.03,3.02,reject
98,0.7,Premium,F,VVS2,61.0,57.0,2932,5.8,5.71,3.51,accept
99,0.52,Ideal,F,VVS1,61.2,56.0,2867,5.21,5.19,3.18,accept
100,1.35,Premium,G,SI2,58.4,59.0,6400,7.32,7.28,4.26,reject
101,0.42,Ideal,D,SI2,62.4,57.0,700,4.78,4.81,2.99,reject
102,0.7,Good,D,VS2,64.1,59.0,3087,5.49,5.56,3.54,accept
103,0.32,Ideal,E,VS2,62.0,57.0,702,4.39,4.41,2.73,accept
104,0.34,Fair,F,VS2,64.7,55.0,816,4.52,4.41,2.89,accept
105,0.3,Good,H,SI1,63.7,56.0,421,4.2,4.22,2.68,reject
106,0.71,Very Good,F,SI1,62.1,58.0,2221,5.64,5.72,3.53,reject
107,0.57,Very Good,H,VVS1,59.6,58.0,1914,5.4,5.43,3.23,reject
108,1.23,Premium,F,VS2,60.8,59.0,8959,6.9,6.94,4.21,reject
109,0.34,Ideal,F,VVS2,61.7,55.0,784,4.49,4.52,2.78,accept
110,0.59,Ideal,E,VS2,60.2,61.0,1941,5.43,5.47,3.28,accept
111,0.57,Premium,E,VS2,61.0,58.0,1851,5.31,5.34,3.25,accept
112,0.31,Ideal,D,SI1,62.4,53.0,571,4.33,4.35,2.71,reject
113,0.52,Ideal,E,VS1,62.5,56.0,1793,5.16,5.11,3.21,accept
114,0.54,Good,H,SI1,63.3,57.0,1154,5.15,5.22,3.28,reject
115,0.76,Very Good,F,VVS1,59.6,58.0,4504,5.91,5.96,3.54,reject
116,0.31,Ideal,D,VVS2,61.0,55.0,1074,4.38,4.41,2.68,accept
117,0.51,Ideal,F,VVS2,60.3,56.0,2138,5.2,5.23,3.15,accept
118,1.21,Premium,F,VS2,61.5,57.0,8877,6.81,6.74,4.17,reject
119,0.83,Ideal,F,SI1,62.2,55.0,3560,6.01,6.03,3.74,reject
120,0.34,Very Good,G,VVS2,62.3,59.0,740,4.45,4.48,2.78,reject
121,1.06,Very Good,H,SI1,62.6,58.0,5020,6.4,6.51,4.04,reject
122,0.53,Ideal,D,SI1,62.0,55.0,1753,5.24,5.22,3.24,reject
123,0.31,Premium,G,VS2,59.9,59.0,698,4.4,4.38,2.63,reject
124,0.5,Very Good,E,VS2,63.5,58.0,1629,5.07,5.04,3.21,accept
125,1.0,Very Good,E,VS2,59.0,58.0,6875,6.49,6.53,3.84,reject
126,1.53,Ideal,G,VS2,61.6,57.0,13369,7.4,7.3,4.53,reject
127,0.7,Premium,I,VS2,61.0,59.0,1814,5.71,5.66,3.47,reject
128,0.34,Ideal,D,VS1,60.3,56.0,998,4.53,4.56,2.74,reject
129,1.02,Very Good,D,SI2,61.3,62.0,3971,6.42,6.46,3.95,reject
130,0.34,Ideal,G,SI1,61.5,55.0,540,4.49,4.52,2.77,reject
131,0.51,Ideal,F,VVS2,61.7,56.0,1998,5.12,5.15,3.17,accept
132,0.8,Very Good,H,SI2,63.4,58.0,2502,5.87,5.84,3.71,reject
133,0.9,Ideal,H,SI2,61.0,56.0,4016,6.23,6.29,3.82,reject
134,0.3,Ideal,H,VS1,61.5,57.0,693,4.27,4.31,2.64,reject
135,1.06,Ideal,G,SI2,62.3,55.0,3936,6.54,6.49,4.06,reject
136,1.18,Ideal,I,SI1,61.5,56.0,5378,6.77,6.82,4.18,reject
137,0.29,Very Good,E,VVS1,60.9,61.0,629,4.23,4.27,2.59,accept
138,0.4,Ideal,H,VVS2,61.1,55.0,868,4.75,4.78,2.91,reject
139,0.7,Good,H,SI1,64.2,58.0,1771,5.59,5.62,3.6,reject
140,0.26,Very Good,E,VVS2,61.7,61.0,564,4.08,4.12,2.53,accept
141,0.32,Ideal,F,VS2,62.4,57.0,645,4.34,4.38,2.72,accept
142,0.5,Very Good,D,VS2,63.3,54.0,1758,5.07,5.04,3.2,accept
143,0.72,Ideal,F,VS2,62.0,56.0,2943,5.77,5.75,3.57,accept
144,0.51,Ideal,F,VS2,62.5,53.0,1431,5.12,5.15,3.21,accept
145,0.7,Ideal,F,VS1,61.5,55.0,3319,5.73,5.75,3.53,accept
146,0.5,Ideal,F,VS2,61.2,57.0,1436,5.1,5.13,3.13,accept
147,0.56,Ideal,D,VS1,61.7,56.0,2026,5.33,5.3,3.28,accept
148,0.28,Ideal,E,VVS2,62.1,56.0,646,4.19,4.21,2.61,accept
149,0.26,Very Good,F,SI1,61.3,55.0,401,4.15,4.21,2.56,reject
150,0.7,Fair,E,SI1,65.2,58.0,2318,5.57,5.54,3.62,reject
151,0.34,Ideal,E,SI1,61.0,55.0,637,4.54,4.56,2.77,reject
152,0.42,Very Good,F,VVS1,63.0,59.0,1154,4.75,4.81,3.01,accept
153,0.75,Very Good,E,VS1,61.5,54.0,3314,5.88,5.82,3.6,accept
154,0.23,Good,D,VVS1,64.8,58.0,478,3.83,3.85,2.49,accept
155,0.31,Ideal,E,VVS1,61.0,57.0,903,4.39,4.37,2.67,accept
156,1.51,Good,D,SI2,61.7,65.0,7519,7.38,7.31,4.53,reject
157,1.5,Ideal,H,VS1,62.1,57.0,8891,7.37,7.23,4.53,reject
158,0.27,Very Good,F,VVS2,61.8,57.0,682,4.15,4.17,2.57,accept
159,0.41,Ideal,E,VVS2,61.0,56.0,1187,4.79,4.82,2.93,accept
160,0.4,Premium,D,SI1,62.5,61.0,924,4.69,4.66,2.92,reject
161,0.38,Very Good,D,VS2,61.6,59.0,933,4.62,4.66,2.86,accept
162,0.87,Premium,D,VS2,59.9,59.0,3873,6.2,6.16,3.7,reject
163,0.42,Ideal,E,VVS2,61.3,56.0,1273,4.85,4.81,2.96,accept
164,1.25,Ideal,H,SI2,61.6,55.0,6030,6.89,6.94,4.26,reject
165,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,reject
166,1.21,Premium,D,SI2,62.2,60.0,5889,6.8,6.83,4.24,reject
167,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,reject
168,1.5,Very Good,I,VS2,60.5,60.0,9354,7.31,7.4,4.45,reject
169,0.32,Ideal,D,VS2,61.5,56.0,972,4.42,4.39,2.71,accept
170,0.33,Premium,E,VVS2,60.3,58.0,1114,4.49,4.47,2.7,accept
171,0.71,Ideal,D,VS2,61.5,55.0,3299,5.75,5.79,3.55,accept
172,0.5,Good,F,VS2,57.8,63.0,1279,5.2,5.15,2.99,accept
173,0.52,Ideal,F,VS2,61.2,56.0,1625,5.19,5.37,3.2,accept
174,0.7,Good,F,VS1,63.7,55.0,2724,5.56,5.61,3.56,accept
175,0.71,Ideal,F,SI2,62.1,54.0,2365,5.72,5.74,3.56,reject
176,1.0,Good,E,VVS2,63.5,55.0,8750,6.31,6.36,4.02,accept
177,0.63,Ideal,D,IF,61.2,53.0,3832,5.55,5.6,3.41,accept
178,0.9,Very Good,I,VS2,63.0,60.0,3709,6.15,6.17,3.88,reject
179,0.45,Fair,F,SI1,57.9,66.0,794,5.08,4.98,2.91,reject
180,0.52,Ideal,G,VS1,61.9,55.0,1722,5.16,5.18,3.2,reject
181,0.72,Ideal,F,VVS2,61.2,56.0,3816,5.78,5.81,3.55,accept
182,0.56,Very Good,I,SI1,61.8,56.0,1175,5.22,5.3,3.25,reject
183,0.92,Good,I,SI1,57.4,65.0,3122,6.42,6.48,3.7,reject
184,0.31,Ideal,E,VS2,61.5,56.0,642,4.39,4.42,2.71,accept
185,0.33,Ideal,F,VVS2,61.9,56.0,810,4.42,4.46,2.75,accept
186,0.53,Ideal,E,VVS2,61.9,55.0,2263,5.19,5.22,3.22,accept
187,1.54,Premium,F,VS2,62.4,59.0,14578,7.43,7.38,4.62,reject
188,0.26,Premium,E,VVS1,61.8,58.0,769,4.14,4.11,2.55,accept
189,0.34,Ideal,D,VS2,62.3,55.0,1033,4.48,4.45,2.78,accept
190,0.7,Ideal,D,SI1,61.6,57.0,3471,5.69,5.74,3.52,reject
191,0.78,Very Good,I,SI1,63.1,56.0,2228,5.88,5.82,3.69,reject
192,0.23,Very Good,E,VS2,62.5,59.0,373,3.91,3.96,2.46,accept
193,0.47,Ideal,F,VS2,60.7,56.1,1226,5.02,5.08,3.07,accept
194,0.73,Ideal,H,VVS2,61.6,56.0,2846,5.79,5.84,3.58,reject
195,0.7,Good,H,SI2,64.2,58.0,1697,5.56,5.6,3.58,reject
196,0.51,Very Good,G,VS2,62.3,59.0,1438,5.07,5.1,3.17,reject
197,0.34,Very Good,E,VS2,62.6,58.0,745,4.43,4.45,2.78,accept
198,0.71,Fair,D,SI1,65.1,59.0,2352,5.59,5.56,3.63,reject
199,0.4,Good,F,VS2,62.0,61.3,929,4.69,4.72,2.91,accept
200,1.1,Premium,E,VVS2,60.1,58.0,10577,6.76,6.69,4.04,accept
201,0.6,Very Good,D,VS1,61.4,59.0,2431,5.41,5.44,3.33,accept
202,1.53,Very Good,G,SI2,62.1,61.0,8455,7.28,7.3,4.53,reject
203,0.7,Very Good,G,SI1,62.1,58.0,2106,5.66,5.7,3.53,reject
204,1.04,Very Good,E,VVS2,62.8,58.0,9705,6.42,6.45,4.04,accept
205,2.0,Premium,H,SI1,59.8,60.0,14126,8.04,8.01,4.8,reject
206,1.51,Good,H,VS1,59.9,61.0,10129,7.34,7.39,4.41,reject
207,0.36,Premium,E,VVS1,62.4,56.0,1035,4.57,4.53,2.84,accept
208,0.53,Ideal,F,SI1,60.3,57.0,1359,5.21,5.24,3.15,reject
209,1.51,Ideal,G,SI1,61.6,56.0,8283,7.34,7.25,4.5,reject
210,0.23,Good,E,VVS2,63.3,56.0,530,3.88,3.92,2.47,accept
211,0.77,Ideal,J,VS2,61.9,54.0,2292,5.89,5.94,3.66,reject
212,0.38,Premium,E,VS2,62.2,59.0,1112,4.67,4.63,2.89,accept
213,0.41,Ideal,E,VS1,61.4,57.0,1079,4.79,4.82,2.95,reject
214,1.07,Premium,H,VS2,62.4,57.0,5573,6.58,6.52,4.09,reject
215,0.3,Premium,H,SI1,61.3,58.0,540,4.33,4.29,2.64,reject
216,0.56,Ideal,E,VS2,61.9,56.0,1819,5.27,5.32,3.28,accept
217,0.58,Ideal,F,VVS2,61.9,56.0,2380,5.35,5.38,3.32,accept
218,2.05,Very Good,F,SI2,59.5,58.0,16819,8.26,8.3,4.93,reject
219,0.38,Very Good,E,VS2,60.4,58.0,744,4.67,4.7,2.83,accept
220,0.3,Premium,E,VS2,60.0,60.0,844,4.4,4.36,2.63,accept
221,0.28,Very Good,H,VS1,61.9,56.0,429,4.22,4.24,2.61,reject
222,1.24,Very Good,G,SI2,63.3,57.0,4462,6.85,6.79,4.32,reject
223,1.04,Good,F,VS1,63.2,57.0,7399,6.41,6.44,4.06,reject
224,1.71,Ideal,J,SI2,60.8,57.0,7695,7.69,7.64,4.66,reject
225,0.34,Ideal,D,VVS1,62.4,55.0,1211,4.49,4.45,2.79,accept
226,0.59,Very Good,F,VS2,62.0,58.0,1764,5.35,5.42,3.34,accept
227,0.58,Ideal,G,SI1,61.4,55.8,1442,5.34,5.38,3.29,reject
228,0.3,Ideal,D,VVS1,61.1,57.0,1069,4.36,4.34,2.66,accept
229,0.41,Ideal,F,VVS1,62.1,57.0,1295,4.75,4.79,2.96,accept
230,0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53,accept
231,0.33,Ideal,F,VVS2,61.4,57.0,824,4.43,4.46,2.73,accept
232,0.71,Very Good,E,VS2,62.7,59.0,2830,5.65,5.7,3.56,accept
233,0.58,Premium,F,SI2,63.0,56.0,1226,5.34,5.26,3.34,reject
234,0.58,Ideal,E,VS2,61.9,56.0,1670,5.34,5.38,3.32,accept
235,0.53,Ideal,F,VS1,61.5,56.0,1856,5.26,5.22,3.22,accept
236,0.57,Premium,E,VS2,61.0,58.0,1949,5.34,5.31,3.25,accept
237,0.33,Ideal,F,VS2,62.1,54.0,666,4.43,4.46,2.76,accept
238,0.54,Premium,G,VS1,61.6,58.0,1760,5.25,5.21,3.22,reject
239,0.44,Good,J,VS1,63.2,57.0,694,4.82,4.86,3.06,reject
240,0.7,Premium,E,VS2,60.8,58.0,2697,5.74,5.7,3.48,accept
241,1.01,Good,G,VS1,62.7,57.0,6066,6.33,6.42,4.0,reject
242,0.32,Good,H,VS1,63.1,57.0,561,4.34,4.37,2.75,reject
243,0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34,accept
244,0.32,Good,E,VVS1,59.4,61.0,801,4.45,4.48,2.65,accept
245,2.0,Good,I,SI1,63.0,61.0,15072,7.93,7.97,5.01,reject
246,0.75,Ideal,F,VS2,62.5,57.0,2893,5.78,5.83,3.63,accept
247,0.56,Ideal,G,VVS1,62.0,56.0,2202,5.28,5.3,3.28,reject
248,0.37,Premium,D,VVS1,61.4,58.0,1142,4.65,4.63,2.85,accept
249,0.32,Ideal,G,SI2,61.6,56.0,459,4.4,4.43,2.72,reject
250,0.35,Premium,D,VS2,61.9,58.0,1063,4.6,4.51,2.82,accept
251,0.52,Ideal,G,VS2,61.7,56.0,1428,5.15,5.19,3.19,reject
252,0.71,Ideal,D,VS1,60.9,58.0,3716,5.72,5.78,3.5,accept
253,0.37,Good,F,SI1,63.7,55.0,738,4.59,4.55,2.91,reject
254,0.4,Premium,H,VS1,61.3,59.0,1021,4.79,4.74,2.92,reject
255,0.26,Ideal,F,VVS2,61.6,57.0,599,4.08,4.1,2.52,accept
256,0.3,Ideal,F,IF,62.0,58.0,886,4.25,4.3,2.65,accept
257,0.58,Ideal,E,VS2,62.1,55.0,1761,5.35,5.34,3.32,accept
258,1.1,Premium,F,I1,59.8,61.0,3745,6.7,6.65,3.99,reject
259,0.26,Ideal,F,VVS1,61.6,57.0,599,4.08,4.1,2.52,accept
260,0.75,Premium,E,SI1,62.8,56.0,2698,5.78,5.75,3.62,reject
261,0.73,Premium,D,VS1,60.0,58.0,3557,5.9,5.86,3.53,accept
262,0.34,Ideal,I,SI1,61.9,57.0,459,4.49,4.52,2.79,reject
263,1.09,Premium,E,SI2,60.9,59.0,5127,6.75,6.61,4.07,reject
264,0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48,accept
265,1.52,Very Good,H,SI1,60.9,59.0,9642,7.43,7.49,4.54,reject
266,0.9,Fair,H,VS1,65.9,60.0,3500,5.99,5.96,3.94,reject
267,0.32,Very Good,F,VS2,58.8,62.0,602,4.43,4.48,2.62,accept
268,0.5,Premium,E,SI1,62.4,58.0,1155,5.06,5.01,3.14,reject
269,0.36,Ideal,E,VS2,60.8,56.0,1013,4.64,4.6,2.81,accept
270,0.31,Ideal,F,VVS1,61.9,53.5,882,4.36,4.39,2.71,accept
271,1.21,Premium,G,VS2,63.0,58.0,7318,6.72,6.67,4.22,reject
272,0.35,Ideal,E,VS2,61.5,55.0,767,4.52,4.56,2.79,accept
273,0.4,Very Good,D,VS2,60.5,58.0,720,4.76,4.82,2.9,accept
274,1.01,Premium,F,VVS2,62.1,52.0,9013,6.5,6.45,4.02,reject
275,1.23,Premium,F,VS2,62.9,58.0,8486,6.82,6.76,4.27,reject
276,0.86,Ideal,G,SI2,61.9,55.0,3442,6.11,6.14,3.79,reject
277,1.7,Premium,I,VS2,60.5,61.0,11369,7.68,7.65,4.64,reject
278,1.01,Ideal,D,VVS2,60.6,56.0,10797,6.53,6.48,3.94,reject
279,0.5,Ideal,D,VS2,61.9,59.0,1712,5.07,5.1,3.15,accept
280,1.0,Good,G,SI2,59.7,63.0,3860,6.43,6.5,3.86,reject
281,0.4,Premium,E,VS2,62.2,58.0,975,4.72,4.67,2.92,accept
282,1.11,Ideal,F,VS2,62.2,54.0,9144,6.62,6.69,4.14,reject
283,0.51,Good,J,VS2,63.1,56.0,984,5.1,5.13,3.23,reject
284,0.51,Ideal,E,SI1,59.6,57.0,1546,5.24,5.2,3.11,reject
285,0.34,Ideal,G,VS2,62.5,57.0,765,4.5,4.46,2.8,reject
286,0.53,Premium,D,SI1,61.0,58.0,1631,5.18,5.22,3.17,reject
287,0.34,Ideal,F,IF,61.8,55.0,999,4.49,4.51,2.78,accept
288,0.32,Ideal,F,VVS1,62.6,56.0,913,4.37,4.41,2.75,accept
289,0.26,Premium,E,VVS2,61.7,61.0,724,4.12,4.08,2.53,accept
290,0.9,Very Good,H,SI2,61.2,57.0,3481,6.21,6.27,3.82,reject
291,0.57,Premium,F,VS2,59.8,59.0,1760,5.4,5.37,3.22,accept
292,0.42,Ideal,E,VS2,61.8,57.0,1024,4.81,4.77,2.96,accept
293,0.4,Premium,E,VS1,62.8,59.0,1125,4.67,4.63,2.92,reject
294,0.33,Ideal,E,SI1,62.5,55.0,743,4.45,4.42,2.77,reject
295,1.22,Very Good,I,VS2,59.6,58.0,6419,6.95,6.98,4.15,reject
296,0.3,Premium,G,VVS2,62.0,58.0,684,4.26,4.29,2.65,reject
297,0.29,Very Good,E,VS1,60.4,58.0,499,4.28,4.33,2.6,reject
298,0.46,Very Good,F,VVS1,61.4,57.0,1657,4.95,4.99,3.05,accept
299,0.38,Very Good,F,VS2,61.3,57.0,685,4.67,4.7,2.87,accept
300,0.56,Good,E,VS2,61.4,62.0,1736,5.34,5.28,3.26,accept
301,0.31,Ideal,D,VS2,61.8,55.0,852,4.33,4.36,2.69,accept
302,0.34,Ideal,E,VVS1,61.9,56.0,1084,4.51,4.47,2.78,accept
303,1.22,Premium,I,VS2,60.3,59.0,6217,6.93,6.87,4.16,reject
304,1.03,Ideal,F,VS2,60.7,56.0,6662,6.58,6.56,3.99,reject
305,0.64,Very Good,G,VS2,62.7,59.0,1873,5.44,5.5,3.43,reject
306,0.41,Ideal,F,IF,61.6,56.0,1439,4.79,4.82,2.96,accept
307,0.52,Ideal,E,VS2,62.1,57.0,1617,5.22,5.19,3.23,accept
308,0.3,Ideal,F,VS2,61.4,57.0,605,4.34,4.36,2.67,accept
309,0.32,Ideal,G,IF,61.7,54.0,918,4.39,4.42,2.72,reject
310,0.72,Very Good,F,VS1,62.1,59.0,3059,5.69,5.74,3.55,accept
311,1.01,Premium,D,VS2,60.0,59.0,7508,6.53,6.48,3.9,reject
312,2.05,Very Good,H,VS2,63.5,62.0,15701,8.05,7.91,5.07,reject
313,0.91,Very Good,G,SI1,62.2,57.0,3884,6.12,6.17,3.82,reject
314,0.31,Very Good,E,SI1,63.1,57.0,698,4.31,4.28,2.71,reject
315,0.29,Ideal,E,VVS1,62.7,55.0,858,4.22,4.2,2.64,accept
316,1.51,Very Good,E,SI1,62.8,59.0,11460,7.26,7.3,4.57,reject
317,0.32,Premium,J,VS2,61.9,59.0,504,4.38,4.35,2.7,reject
318,0.3,Ideal,F,VS2,61.6,57.0,776,4.33,4.3,2.66,accept
319,0.43,Very Good,E,VS2,62.8,56.0,981,4.79,4.86,3.03,accept
320,0.31,Premium,H,VS2,62.5,54.0,628,4.39,4.35,2.73,reject
321,1.01,Premium,F,VS2,60.9,58.0,6446,6.47,6.41,3.92,reject
322,0.26,Premium,E,VVS1,61.8,58.0,599,4.11,4.14,2.55,accept
323,1.5,Premium,G,SI1,62.3,58.0,10428,7.27,7.33,4.55,reject
324,1.72,Ideal,E,I1,62.2,55.0,7802,7.7,7.67,4.78,reject
325,0.32,Ideal,H,IF,62.6,54.0,814,4.38,4.4,2.75,reject
326,0.32,Ideal,E,VS2,62.1,55.0,702,4.36,4.4,2.72,accept
327,0.3,Premium,E,VS2,62.5,58.0,658,4.26,4.31,2.68,accept
