,carat,cut,color,clarity,depth,table,price,x,y,z
182,2.01,Very Good,I,VS2,62.5,61.0,15675,7.97,8.03,5.0
183,0.5,Good,F,VS1,58.0,61.0,1415,5.18,5.23,3.02
184,1.09,Very Good,F,IF,61.1,58.0,10663,6.63,6.69,4.07
185,1.19,Very Good,H,VS2,61.1,58.0,6819,6.78,6.83,4.16
186,2.18,Good,H,SI1,63.8,57.0,12825,8.24,8.17,5.23
187,0.56,Premium,G,SI2,59.6,58.0,1103,5.42,5.35,3.21
188,0.34,Ideal,G,VVS2,61.9,57.0,775,4.44,4.48,2.76
189,1.51,Ideal,I,VS2,60.6,56.0,9442,7.44,7.47,4.52
190,1.01,Very Good,E,VS2,62.9,60.0,6714,6.36,6.4,4.01
191,0.3,Ideal,G,VVS1,62.0,58.0,764,4.28,4.3,2.66
192,0.38,Ideal,H,VS1,62.2,53.7,768,4.63,4.68,2.9
193,1.0,Good,D,SI1,64.3,62.0,4312,6.18,6.13,3.96
194,1.05,Ideal,G,VS2,60.8,57.0,6486,6.58,6.65,4.02
195,0.7,Good,I,SI1,63.6,55.0,1995,5.62,5.58,3.56
196,1.19,Premium,H,SI2,61.9,58.0,4332,6.84,6.77,4.21
197,0.71,Premium,H,SI2,60.5,60.0,2224,5.81,5.73,3.49
198,0.41,Premium,H,VS1,58.2,59.0,990,4.92,4.88,2.85
199,0.3,Premium,D,SI1,61.7,60.0,709,4.28,4.25,2.63
200,2.01,Ideal,H,SI1,62.1,55.0,18295,8.12,8.07,5.03
201,0.5,Premium,E,SI1,60.2,58.0,1316,5.15,5.18,3.11
202,0.41,Very Good,E,SI1,61.1,62.0,705,4.76,4.83,2.93
203,0.61,Very Good,H,VVS2,62.8,58.0,1877,5.4,5.42,3.4
204,1.27,Premium,J,VS2,62.8,58.0,4011,6.96,6.92,4.36
205,1.51,Premium,E,VS2,59.8,58.0,14482,7.55,7.52,4.47
206,0.9,Premium,D,VS2,58.7,62.0,4505,6.32,6.29,3.7
207,0.71,Premium,H,SI2,61.7,59.0,1567,5.76,5.72,3.54
208,0.73,Ideal,I,VVS1,61.7,57.0,2561,5.83,5.78,3.58
209,0.74,Ideal,H,VS1,62.1,55.0,3254,5.82,5.84,3.62
210,0.93,Very Good,G,SI2,62.9,56.0,4163,6.2,6.23,3.91
211,1.0,Ideal,H,I1,61.3,57.0,3080,6.41,6.44,3.94
212,1.01,Very Good,F,SI1,63.0,58.0,4619,6.31,6.39,4.0
213,0.51,Ideal,G,SI1,61.5,54.0,1175,5.17,5.21,3.19
214,0.56,Premium,H,VS1,60.1,58.0,1585,5.4,5.35,3.23
215,1.6,Ideal,J,VS2,62.1,56.0,9681,7.47,7.51,4.65
216,1.22,Very Good,G,IF,62.0,59.0,8793,6.8,6.85,4.23
217,1.5,Good,H,I1,64.0,56.0,4022,7.18,7.05,4.56
218,0.38,Ideal,E,VS1,62.2,55.0,866,4.63,4.67,2.89
219,1.0,Premium,E,SI2,61.1,58.0,4704,6.48,6.44,3.95
220,0.7,Fair,I,I1,68.6,57.0,1147,5.46,5.34,3.71
221,1.51,Premium,G,VS2,60.7,60.0,12551,7.4,7.36,4.48
222,0.5,Very Good,E,SI2,58.0,63.0,1009,5.22,5.19,3.02
223,0.3,Good,E,SI1,63.2,56.0,526,4.27,4.3,2.71
224,0.8,Good,H,SI2,58.4,61.0,2474,6.02,6.06,3.53
225,1.44,Premium,J,SI2,58.2,58.0,4064,7.39,7.35,4.29
226,1.27,Very Good,I,VS2,62.4,58.0,6443,6.83,6.89,4.28
227,1.52,Ideal,H,VS2,61.8,55.1,11333,7.38,7.42,4.58
228,0.47,Ideal,J,VVS2,62.1,54.5,953,4.97,4.99,3.09
229,1.0,Very Good,E,VS2,62.9,59.0,6245,6.27,6.38,3.98
230,0.9,Very Good,D,SI2,62.9,59.0,3706,6.06,6.15,3.84
231,1.0,Ideal,H,VS2,62.5,56.0,5139,6.41,6.33,3.98
232,0.32,Good,E,SI1,63.1,56.0,524,4.34,4.37,2.75
233,0.38,Ideal,I,SI1,61.8,54.0,593,4.66,4.7,2.89
234,1.57,Very Good,D,SI1,62.3,59.0,12304,7.39,7.44,4.62
235,0.71,Good,G,VS1,58.1,59.0,2628,5.85,5.92,3.42
236,1.01,Good,D,SI1,58.4,62.0,5700,6.48,6.5,3.79
237,0.34,Ideal,E,VS1,61.0,57.0,805,4.49,4.52,2.75
238,1.03,Ideal,F,VVS2,61.9,53.0,9131,6.52,6.54,4.04
239,0.3,Ideal,H,VS1,62.3,55.1,539,4.29,4.32,2.68
240,0.32,Premium,G,IF,61.0,59.0,891,4.38,4.41,2.68
241,0.31,Good,G,VS1,63.7,56.0,802,4.3,4.27,2.73
242,0.34,Ideal,I,SI1,61.9,56.0,469,4.47,4.5,2.77
243,0.51,Very Good,F,SI1,62.0,54.0,1265,5.15,5.18,3.2
244,1.02,Ideal,G,SI1,62.2,56.0,5044,6.46,6.44,4.01
245,1.02,Very Good,E,SI1,63.2,61.0,5278,6.37,6.31,4.01
246,0.3,Ideal,D,SI1,61.4,55.0,552,4.29,4.34,2.65
247,0.73,Ideal,E,SI1,59.1,59.0,2846,5.92,5.95,3.51
248,0.45,Fair,F,VS1,66.9,54.0,945,4.85,4.75,3.21
249,0.56,Fair,H,VS2,52.7,70.0,1293,5.71,5.57,2.97
250,0.31,Good,G,VS2,63.1,58.0,544,4.3,4.35,2.73
251,1.16,Ideal,G,VVS2,62.2,56.0,9251,6.7,6.74,4.18
252,0.5,Ideal,E,SI2,62.6,56.0,1104,5.05,5.11,3.18
253,1.58,Premium,H,SI2,62.4,57.0,8777,7.45,7.36,4.62
254,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94
255,1.0,Very Good,E,SI2,61.2,58.0,4777,6.37,6.41,3.91
256,0.97,Ideal,H,SI2,61.6,56.0,3802,6.39,6.36,3.93
257,0.7,Very Good,G,SI1,62.5,57.0,2106,5.63,5.7,3.54
258,0.79,Ideal,F,SI1,62.0,55.0,3081,5.93,5.95,3.68
259,1.0,Premium,G,VS1,60.6,59.0,6006,6.42,6.48,3.91
260,2.0,Fair,J,I1,66.5,56.0,6796,7.93,7.8,5.23
261,0.3,Very Good,H,SI1,59.4,63.0,540,4.4,4.35,2.6
262,1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21
263,1.01,Premium,G,VS2,62.4,58.0,5999,6.38,6.41,3.99
264,0.71,Ideal,J,VS1,61.9,55.0,1932,5.69,5.75,3.54
265,0.97,Good,I,VS2,64.5,61.0,4355,6.16,6.21,3.99
266,0.72,Ideal,I,VS2,61.7,56.0,2650,5.73,5.78,3.55
267,0.91,Good,H,SI1,63.8,56.0,3323,6.09,6.04,3.87
268,0.39,Ideal,J,VS2,61.4,57.0,746,4.72,4.66,2.88
269,1.5,Premium,E,VS1,59.5,61.0,17143,7.46,7.43,4.43
270,2.02,Ideal,I,SI2,60.9,60.0,14027,8.08,8.14,4.94
271,1.5,Very Good,G,VS2,60.5,57.0,12014,7.39,7.43,4.48
272,1.0,Good,G,VVS1,63.8,60.0,7007,6.31,6.35,4.04
273,2.0,Good,H,SI1,63.3,59.0,17600,7.96,8.03,5.06
274,2.02,Fair,H,SI1,56.2,61.0,15695,8.8,8.33,4.81
275,1.23,Premium,D,VS2,59.3,59.0,9836,7.03,6.96,4.15
276,0.35,Ideal,F,SI1,61.1,56.0,707,4.56,4.58,2.79
277,0.41,Ideal,G,VVS2,61.3,56.0,1076,4.77,4.76,2.92
278,1.15,Ideal,G,VVS2,61.8,56.0,9457,6.72,6.75,4.16
279,0.91,Very Good,E,SI2,62.4,58.0,3936,6.11,6.14,3.82
280,1.01,Very Good,F,VVS1,62.8,58.0,9243,6.35,6.39,4.0
281,0.52,Premium,G,VS2,62.0,58.0,1577,5.2,5.16,3.21
282,1.13,Premium,D,SI2,62.0,58.0,5280,6.64,6.68,4.13
283,0.5,Very Good,E,VS1,62.7,56.0,1675,5.09,5.12,3.2
284,1.54,Ideal,G,SI1,61.5,55.0,11333,7.4,7.45,4.57
285,1.5,Premium,G,I1,60.4,55.0,4140,7.4,7.32,4.45
286,1.23,Ideal,I,SI2,61.2,58.0,5315,6.86,6.9,4.21
287,0.33,Ideal,G,VVS1,61.6,55.0,838,4.46,4.47,2.75
288,1.14,Ideal,H,SI1,62.2,57.0,4916,6.73,6.67,4.17
289,0.33,Very Good,G,VS1,61.0,57.0,652,4.46,4.49,2.72
290,1.02,Very Good,H,SI1,63.5,58.0,4688,6.39,6.36,4.05
291,0.7,Good,F,SI1,63.8,60.0,2401,5.6,5.63,3.58
292,0.42,Ideal,D,VS1,61.8,56.0,1132,4.82,4.86,2.99
293,0.28,Very Good,F,VS1,61.0,59.0,487,4.23,4.29,2.6
294,0.81,Fair,F,SI2,65.7,57.0,2031,5.8,5.75,3.79
295,0.53,Ideal,G,VS1,62.1,57.0,1721,5.16,5.18,3.21
296,0.91,Very Good,H,SI1,62.7,56.0,3762,6.14,6.18,3.86
297,1.04,Very Good,I,SI1,63.2,54.0,4193,6.49,6.42,4.08
298,0.31,Premium,G,SI1,61.7,55.0,593,4.38,4.37,2.7
299,1.2,Very Good,G,SI1,62.9,57.0,5918,6.73,6.79,4.25
300,1.12,Very Good,H,SI2,61.8,58.0,4624,6.62,6.68,4.11
301,0.94,Very Good,E,SI1,61.8,56.0,4661,6.29,6.33,3.9
302,1.13,Premium,H,VS2,62.4,58.0,5779,6.61,6.66,4.14
303,0.9,Very Good,H,SI1,61.9,59.0,3595,6.17,6.21,3.83
304,0.58,Ideal,I,VVS1,62.1,56.0,1805,5.34,5.32,3.31
305,1.12,Ideal,G,VS2,60.8,57.0,6683,6.74,6.69,4.08
306,2.02,Very Good,H,SI1,63.4,60.0,17672,7.96,8.04,5.07
307,0.27,Ideal,G,VS2,61.5,56.0,490,4.16,4.18,2.56
308,0.7,Ideal,H,VVS1,62.0,57.0,2541,5.66,5.7,3.52
309,1.21,Good,E,SI1,63.6,58.0,6861,6.65,6.77,4.27
310,1.0,Fair,I,SI2,65.8,58.0,3348,6.23,6.27,4.11
311,1.02,Premium,G,VVS1,58.0,61.0,8768,6.67,6.58,3.84
312,0.3,Ideal,F,VS1,62.1,55.0,612,4.31,4.35,2.69
313,1.5,Premium,D,VS2,61.8,60.0,15102,7.3,7.37,4.53
314,0.44,Very Good,G,SI2,60.6,55.0,1016,4.94,4.96,3.0
315,1.2,Premium,F,SI1,61.0,62.0,6774,6.96,6.81,4.2
316,1.62,Ideal,I,VVS2,62.7,54.0,11587,7.47,7.52,4.7
317,0.3,Very Good,G,VVS2,62.9,55.0,684,4.24,4.28,2.68
318,0.31,Ideal,D,SI1,61.2,57.0,684,4.38,4.34,2.67
319,0.31,Good,H,VS2,63.1,58.0,489,4.31,4.34,2.73
320,1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29
321,1.72,Premium,H,VS2,59.5,60.0,11455,7.79,7.75,4.62
322,0.81,Premium,G,VS2,62.0,58.0,2994,5.95,5.92,3.68
323,1.18,Premium,H,SI1,61.6,59.0,6159,6.82,6.72,4.17
324,0.54,Ideal,G,VS1,62.3,55.0,1847,5.24,5.2,3.25
325,0.34,Ideal,E,SI1,61.0,57.0,596,4.48,4.51,2.74
326,1.0,Premium,D,SI1,61.5,60.0,5390,6.34,6.38,3.91
327,1.04,Fair,D,SI2,64.9,56.0,4398,6.39,6.34,4.13
328,0.34,Ideal,H,VS1,62.2,55.0,620,4.47,4.49,2.79
329,1.01,Premium,H,VS2,61.3,58.0,5028,6.46,6.49,3.97
330,0.27,Very Good,G,VVS1,60.1,58.0,566,4.21,4.23,2.53
331,1.7,Good,G,SI1,58.2,64.0,11180,7.89,7.85,4.58
332,0.71,Ideal,I,VS1,61.6,56.0,2965,5.71,5.75,3.53
333,0.51,Ideal,G,SI1,61.7,58.0,1287,5.12,5.15,3.17
334,0.31,Very Good,J,SI1,61.9,59.0,363,4.28,4.32,2.66
335,1.51,Premium,G,SI1,59.6,60.0,11129,7.47,7.43,4.44
336,1.58,Ideal,I,SI2,62.3,57.0,6441,7.42,7.34,4.6
337,1.0,Premium,D,SI1,62.2,58.0,5096,6.28,6.23,3.89
338,1.19,Premium,I,SI1,61.3,59.0,5464,6.84,6.79,4.18
339,0.9,Premium,E,SI1,63.0,59.0,4334,6.13,6.1,3.85
340,1.0,Premium,G,VS1,62.4,59.0,6727,6.4,6.35,3.98
341,0.58,Ideal,H,IF,60.2,56.0,2233,5.43,5.46,3.28
342,2.01,Good,H,SI2,64.0,51.0,15888,8.08,8.01,5.15
343,0.99,Premium,F,VS2,62.6,55.0,5893,6.5,6.35,4.02
344,0.26,Ideal,H,VVS2,61.8,55.7,478,4.08,4.1,2.53
345,0.59,Very Good,H,VVS1,63.7,56.0,1870,5.35,5.38,3.42
346,1.0,Premium,H,SI2,61.2,59.0,3920,6.42,6.38,3.92
347,1.01,Very Good,I,SI1,64.4,54.0,4805,6.31,6.4,4.09
348,1.35,Premium,H,VS2,61.5,58.0,7918,7.09,7.15,4.38
349,0.53,Ideal,H,VS1,61.7,56.0,1607,5.22,5.18,3.21
350,0.78,Premium,E,VS1,62.2,58.0,3538,5.9,5.86,3.66
351,1.01,Very Good,E,VS2,63.4,60.0,6787,6.37,6.31,4.02
352,1.21,Good,I,VS2,63.4,57.0,5290,6.72,6.79,4.28
353,0.7,Ideal,I,VS2,62.5,54.0,2390,5.68,5.71,3.56
